abs,delta_deg,i,imag,j,matrix,real,theta12_deg,theta13_deg,theta23_deg
0.9807414797426542,,1,0.0,1,CKM,0.9807414797426542,,,
0.05338588955029436,,1,0.0,2,CKM,0.05338588955029436,,,
0.008409767940130325,,1,0.0,3,CKM,-0.008409767940130325,,,
0.05343859350885078,,2,0.0,1,CKM,-0.05343859350885078,,,
0.9789373174534367,,2,0.0,2,CKM,0.9789373174534367,,,
0.04075204239101924,,2,0.0,3,CKM,0.04075204239101924,,,
0.009996585196621261,,3,0.0,1,CKM,0.009996585196621261,,,
0.04309756027170721,,3,0.0,2,CKM,-0.04309756027170721,,,
0.9781039084802114,,3,0.0,3,CKM,0.9781039084802114,,,
,-0.0,,,,CKM_angles,,3.060349299258871,0.4818498895087828,2.335649437928263
0.9892000566832312,,1,0.0,1,PMNS,0.9892000566832312,,,
0.043374378983303236,,1,0.0,2,PMNS,0.043374378983303236,,,
0.009351523122301085,,1,0.0,3,PMNS,-0.009351523122301085,,,
0.04392462825632362,,2,0.0,1,PMNS,-0.04392462825632362,,,
0.9875589729911749,,2,0.0,2,PMNS,0.9875589729911749,,,
0.02083237098065495,,2,0.0,3,PMNS,0.02083237098065495,,,
0.009164521174476215,,3,0.0,1,PMNS,0.009164521174476215,,,
0.02499610851207173,,3,0.0,2,PMNS,-0.02499610851207173,,,
0.9860046032662884,,3,0.0,3,PMNS,0.9860046032662884,,,
,-0.0,,,,PMNS_angles,,2.4860575298396475,0.5358106166480393,1.193745492229303
