abs,delta_deg,i,imag,j,matrix,real,theta12_deg,theta13_deg,theta23_deg
0.9980529746134073,,1,0.0,1,CKM,0.9980529746134073,,,
0.05348628315473975,,1,0.0,2,CKM,0.05348628315473975,,,
0.02020632228305236,,1,0.0,3,CKM,-0.02020632228305236,,,
0.0552552171365616,,2,0.0,1,CKM,-0.0552552171365616,,,
0.9943702586670008,,2,0.0,2,CKM,0.9943702586670008,,,
0.010879603666532954,,2,0.0,3,CKM,-0.010879603666532954,,,
0.016989876012588268,,3,0.0,1,CKM,0.016989876012588268,,,
0.002036506208331332,,3,0.0,2,CKM,-0.002036506208331332,,,
0.9869813980868632,,3,0.0,3,CKM,0.9869813980868632,,,
,-0.0,,,,CKM_angles,,3.066628041198657,1.1578157839045624,0.6234949739485086
0.9923871499437913,,1,0.0,1,PMNS,0.9923871499437913,,,
0.06330973228200701,,1,0.0,2,PMNS,0.06330973228200701,,,
0.00949498650074772,,1,0.0,3,PMNS,-0.00949498650074772,,,
0.06361594109815544,,2,0.0,1,PMNS,-0.06361594109815544,,,
0.9898324884462503,,2,0.0,2,PMNS,0.9898324884462503,,,
0.04562185409871585,,2,0.0,3,PMNS,0.04562185409871585,,,
0.011397199315799798,,3,0.0,1,PMNS,0.011397199315799798,,,
0.04901947982706347,,3,0.0,2,PMNS,-0.04901947982706347,,,
0.9894428787885986,,3,0.0,3,PMNS,0.9894428787885986,,,
,-0.0,,,,PMNS_angles,,3.629971859492161,0.5440308277309209,2.6149652595598556
