N,avg_persistence,avg_purity,num_plateaus,plateau1_mu,plateau2_mu,plateau3_mu,sector,shell_count
64,0.0,,14,0.8111927459680058,1.8588813868445313,2.0220611226799177,u,7
64,0.0,,3,0.9326366628260057,4.10613485971685,4.228887978399302,d,1
64,0.0,,2,0.7654014119823216,4.95534252071495,,l,2
64,0.0,,15,2.0288709640161744,2.216679785095044,2.411326273235416,nu,1
